City,Temperature F,Humidity %,Cloudiness %,Wind Speed mph,Latitude,Longitude,Date
chiquilistlan,72.95,64.0,53.0,4.25,20.09,-103.86,Sat Nov  2 17:14:34 2019
brae,46.4,70.0,99.0,31.09,60.4,-1.35,Sat Nov  2 17:14:34 2019
broken hill,66.2,82.0,40.0,6.93,-31.97,141.45,Sat Nov  2 17:14:34 2019
banihal,39.52,75.0,97.0,5.21,33.44,75.2,Sat Nov  2 17:14:34 2019
sora,60.3,96.0,100.0,5.1,41.72,13.61,Sat Nov  2 17:14:34 2019
amderma,60.3,96.0,100.0,5.1,41.72,13.61,Sat Nov  2 17:14:34 2019
barra do garcas,80.22,56.0,30.0,2.59,-15.89,-52.26,Sat Nov  2 17:14:35 2019
santa lucia,60.21,88.0,40.0,14.99,41.98,12.66,Sat Nov  2 17:14:35 2019
abu samrah,62.47,63.0,55.0,6.69,35.3,37.18,Sat Nov  2 17:14:35 2019
krasnaya gorbatka,33.01,94.0,71.0,9.19,55.87,41.76,Sat Nov  2 17:14:36 2019
pimentel,78.53,77.0,77.0,5.59,-3.7,-45.5,Sat Nov  2 17:14:36 2019
kefamenanu,84.22,49.0,0.0,1.52,-9.45,124.48,Sat Nov  2 17:14:36 2019
binga,77.5,69.0,22.0,9.28,-17.62,27.34,Sat Nov  2 17:14:36 2019
henties bay,71.42,35.0,0.0,2.55,-22.12,14.28,Sat Nov  2 17:14:36 2019
okhotsk,28.49,83.0,100.0,24.09,59.36,143.24,Sat Nov  2 17:14:37 2019
samarai,80.89,76.0,100.0,8.48,-10.62,150.67,Sat Nov  2 17:14:37 2019
bandarbeyla,81.43,68.0,58.0,11.83,9.49,50.81,Sat Nov  2 17:14:37 2019
petropavlovsk-kamchatskiy,42.8,93.0,75.0,8.95,53.05,158.65,Sat Nov  2 17:14:37 2019
deputatskiy,-8.74,99.0,0.0,1.54,69.3,139.9,Sat Nov  2 17:14:37 2019
sachin,50.31,81.0,100.0,19.46,50.49,2.38,Sat Nov  2 17:14:38 2019
bubaque,82.58,73.0,85.0,10.07,11.28,-15.83,Sat Nov  2 17:14:38 2019
kuche,82.58,73.0,85.0,10.07,11.28,-15.83,Sat Nov  2 17:14:38 2019
qaqortoq,28.4,58.0,0.0,1.12,60.72,-46.03,Sat Nov  2 17:14:38 2019
kutahya,35.6,72.0,0.0,6.93,39.42,29.98,Sat Nov  2 17:14:38 2019
itarema,76.44,80.0,11.0,6.89,-2.92,-39.92,Sat Nov  2 17:14:38 2019
korla,76.44,80.0,11.0,6.89,-2.92,-39.92,Sat Nov  2 17:14:38 2019
labytnangi,5.76,85.0,74.0,7.25,66.66,66.39,Sat Nov  2 17:14:39 2019
kalabo,75.45,50.0,0.0,10.87,-15.0,22.67,Sat Nov  2 17:14:39 2019
toplita,75.45,50.0,0.0,10.87,-15.0,22.67,Sat Nov  2 17:14:39 2019
xai-xai,71.85,57.0,82.0,7.76,-25.04,33.64,Sat Nov  2 17:14:39 2019
komsomolskiy,3.65,96.0,100.0,8.99,67.55,63.78,Sat Nov  2 17:14:40 2019
ust-nera,-6.58,100.0,100.0,2.51,64.57,143.24,Sat Nov  2 17:14:40 2019
west bay,49.51,87.0,75.0,5.82,49.34,-123.21,Sat Nov  2 17:14:40 2019
saint-louis,78.8,57.0,0.0,6.93,16.03,-16.5,Sat Nov  2 17:14:40 2019
sydney mines,34.02,80.0,40.0,3.36,46.24,-60.22,Sat Nov  2 17:14:40 2019
dubbo,75.2,53.0,90.0,20.8,-32.25,148.6,Sat Nov  2 17:14:41 2019
kailua,83.82,58.0,40.0,12.75,21.39,-157.74,Sat Nov  2 17:14:41 2019
victoria,77.68,88.0,75.0,2.24,5.28,115.24,Sat Nov  2 17:14:41 2019
urucara,82.11,47.0,36.0,1.99,-2.54,-57.76,Sat Nov  2 17:12:38 2019
xalpatlahuac,64.42,84.0,69.0,2.06,17.47,-98.62,Sat Nov  2 17:14:41 2019
opuwo,74.62,42.0,81.0,4.05,-18.06,13.84,Sat Nov  2 17:14:42 2019
luanda,78.8,83.0,75.0,6.93,-8.83,13.24,Sat Nov  2 17:14:42 2019
sao joao da barra,74.03,88.0,0.0,13.29,-21.64,-41.05,Sat Nov  2 17:12:50 2019
swidnik,45.48,87.0,40.0,11.41,51.22,22.7,Sat Nov  2 17:14:42 2019
attawapiskat,45.48,87.0,40.0,11.41,51.22,22.7,Sat Nov  2 17:14:42 2019
berlevag,30.06,67.0,0.0,4.85,70.86,29.09,Sat Nov  2 17:14:43 2019
laguna,80.6,83.0,75.0,6.93,16.17,-88.94,Sat Nov  2 17:14:43 2019
gat,77.0,69.0,8.0,2.24,14.69,-16.54,Sat Nov  2 17:14:43 2019
xuddur,71.92,84.0,66.0,15.41,4.12,43.89,Sat Nov  2 17:14:43 2019
kanniyakumari,80.67,77.0,93.0,11.41,8.08,77.57,Sat Nov  2 17:14:44 2019
redlands,75.72,5.0,75.0,4.7,34.06,-117.19,Sat Nov  2 17:12:14 2019
buraydah,69.8,64.0,0.0,5.82,26.33,43.97,Sat Nov  2 17:14:44 2019
khonuu,69.8,64.0,0.0,5.82,26.33,43.97,Sat Nov  2 17:14:44 2019
hambantota,79.84,81.0,46.0,8.63,6.12,81.12,Sat Nov  2 17:14:44 2019
huambo,67.21,61.0,57.0,0.76,-12.78,15.73,Sat Nov  2 17:14:44 2019
kloulklubed,77.0,88.0,90.0,6.93,7.04,134.26,Sat Nov  2 17:14:45 2019
talnakh,-14.81,83.0,100.0,4.47,69.49,88.39,Sat Nov  2 17:14:45 2019
muli,55.31,84.0,3.0,1.74,28.08,109.56,Sat Nov  2 17:14:45 2019
asfi,55.31,84.0,3.0,1.74,28.08,109.56,Sat Nov  2 17:14:45 2019
santa catalina,66.0,81.0,81.0,5.99,-33.79,-57.49,Sat Nov  2 17:14:45 2019
belmonte,56.41,84.0,100.0,13.98,40.36,-7.35,Sat Nov  2 17:14:46 2019
ravenna,52.14,100.0,99.0,2.24,44.42,12.2,Sat Nov  2 17:14:46 2019
westport,43.38,70.0,1.0,7.23,41.14,-73.36,Sat Nov  2 17:13:44 2019
vizinga,17.37,95.0,33.0,4.14,61.08,50.08,Sat Nov  2 17:14:46 2019
panama city,59.31,51.0,1.0,8.05,30.16,-85.65,Sat Nov  2 17:13:23 2019
hami,44.62,33.0,5.0,1.95,42.84,93.51,Sat Nov  2 17:14:47 2019
shahr-e babak,48.45,40.0,0.0,6.31,30.12,55.12,Sat Nov  2 17:14:47 2019
sola,70.09,54.0,32.0,3.53,-3.17,33.8,Sat Nov  2 17:14:47 2019
svetlogorsk,10.4,78.0,100.0,6.71,53.14,59.15,Sat Nov  2 17:14:47 2019
ashtabula,38.75,86.0,90.0,10.29,41.87,-80.79,Sat Nov  2 17:14:47 2019
lahij,81.99,46.0,53.0,4.38,13.06,44.88,Sat Nov  2 17:14:48 2019
riyadh,73.4,46.0,0.0,5.82,24.63,46.72,Sat Nov  2 17:14:45 2019
saint george,51.8,93.0,20.0,6.93,39.45,22.34,Sat Nov  2 17:14:48 2019
maloarkhangelsk,32.94,76.0,70.0,15.86,52.4,36.5,Sat Nov  2 17:14:48 2019
martapura,80.11,76.0,100.0,1.81,-3.41,114.85,Sat Nov  2 17:14:48 2019
kalengwa,67.69,54.0,26.0,3.76,-13.47,25.0,Sat Nov  2 17:14:48 2019
tezu,64.09,59.0,0.0,2.75,27.93,96.16,Sat Nov  2 17:14:49 2019
bathsheba,80.6,83.0,40.0,9.17,13.22,-59.52,Sat Nov  2 17:14:49 2019
ahipara,60.98,76.0,97.0,15.95,-35.17,173.16,Sat Nov  2 17:14:49 2019
kavieng,81.16,87.0,100.0,17.09,-2.57,150.8,Sat Nov  2 17:14:49 2019
gresham,58.05,42.0,20.0,2.75,45.51,-122.44,Sat Nov  2 17:13:05 2019
mitu,45.45,74.0,94.0,5.68,36.2,46.09,Sat Nov  2 17:14:50 2019
santiago del estero,68.0,63.0,88.0,7.18,-27.8,-64.26,Sat Nov  2 17:13:47 2019
alta floresta,72.36,94.0,98.0,6.76,-9.87,-56.08,Sat Nov  2 17:14:50 2019
tabukiniberu,72.36,94.0,98.0,6.76,-9.87,-56.08,Sat Nov  2 17:14:50 2019
casma,61.81,93.0,51.0,9.17,-9.47,-78.3,Sat Nov  2 17:14:51 2019
rafsanjan,55.94,29.0,0.0,1.01,30.4,55.99,Sat Nov  2 17:14:51 2019
faya,59.68,38.0,24.0,6.93,18.39,42.45,Sat Nov  2 17:14:51 2019
charters towers,84.43,41.0,6.0,12.3,-20.07,146.27,Sat Nov  2 17:14:51 2019
vanavara,16.14,85.0,85.0,6.71,60.35,102.28,Sat Nov  2 17:14:51 2019
dhidhdhoo,82.13,67.0,19.0,1.45,6.88,73.1,Sat Nov  2 17:14:52 2019
abay,12.2,92.0,65.0,8.95,49.63,72.87,Sat Nov  2 17:14:52 2019
galashki,28.4,92.0,90.0,3.87,43.1,44.99,Sat Nov  2 17:14:52 2019
taoudenni,75.56,26.0,70.0,8.55,22.68,-3.98,Sat Nov  2 17:14:52 2019
ejigbo,72.16,94.0,100.0,3.44,7.9,4.32,Sat Nov  2 17:14:52 2019
tiksi,-3.19,95.0,58.0,4.45,71.64,128.87,Sat Nov  2 17:14:53 2019
lazaro cardenas,60.57,36.0,90.0,5.79,28.39,-105.62,Sat Nov  2 17:14:53 2019
cayenne,77.0,94.0,42.0,2.24,4.94,-52.33,Sat Nov  2 17:14:53 2019
los llanos de aridane,72.88,88.0,51.0,8.05,28.66,-17.92,Sat Nov  2 17:14:53 2019
makung,72.88,88.0,51.0,8.05,28.66,-17.92,Sat Nov  2 17:14:53 2019
mrirt,72.88,88.0,51.0,8.05,28.66,-17.92,Sat Nov  2 17:14:53 2019
kudahuvadhoo,82.31,70.0,34.0,2.93,2.67,72.89,Sat Nov  2 17:14:54 2019
nan,71.6,94.0,48.0,1.7,18.78,100.78,Sat Nov  2 17:14:54 2019
moose factory,32.0,89.0,90.0,4.7,51.26,-80.61,Sat Nov  2 17:14:54 2019
longyearbyen,17.6,57.0,42.0,18.34,78.22,15.63,Sat Nov  2 17:14:54 2019
avera,51.94,43.0,1.0,5.82,33.19,-82.53,Sat Nov  2 17:14:54 2019
guanare,76.21,90.0,12.0,3.18,9.04,-69.74,Sat Nov  2 17:14:55 2019
port hedland,84.2,14.0,5.0,14.99,-20.31,118.58,Sat Nov  2 17:14:55 2019
souillac,54.48,93.0,100.0,17.22,45.6,-0.6,Sat Nov  2 17:14:55 2019
grindavik,37.4,74.0,100.0,9.17,63.84,-22.43,Sat Nov  2 17:14:55 2019
palu,73.18,88.0,67.0,1.12,-0.9,119.87,Sat Nov  2 17:14:55 2019
saleaula,73.18,88.0,67.0,1.12,-0.9,119.87,Sat Nov  2 17:14:55 2019
aflu,73.18,88.0,67.0,1.12,-0.9,119.87,Sat Nov  2 17:14:55 2019
kakonko,66.72,71.0,17.0,1.95,-3.28,30.97,Sat Nov  2 17:14:56 2019
nanakuli,83.8,58.0,1.0,11.41,21.39,-158.15,Sat Nov  2 17:14:57 2019
ayr,80.01,67.0,2.0,3.0,-19.58,147.4,Sat Nov  2 17:14:57 2019
letpadan,71.56,94.0,0.0,1.79,17.78,95.75,Sat Nov  2 17:14:57 2019
dunedin,62.01,60.0,0.0,7.09,-45.87,170.5,Sat Nov  2 17:14:57 2019
novyy urengoy,4.73,95.0,100.0,10.11,66.08,76.63,Sat Nov  2 17:14:57 2019
gizo,61.09,88.0,0.0,1.12,31.8,34.94,Sat Nov  2 17:14:58 2019
veraval,48.7,93.0,75.0,11.41,49.65,0.71,Sat Nov  2 17:14:58 2019
tyup,36.88,51.0,44.0,3.42,42.73,78.36,Sat Nov  2 17:14:58 2019
saint-joseph,59.77,93.0,93.0,3.36,43.56,6.97,Sat Nov  2 17:14:58 2019
ipixuna,80.6,78.0,61.0,11.41,-1.76,-48.8,Sat Nov  2 17:14:58 2019
luchegorsk,27.61,49.0,0.0,8.72,46.44,134.3,Sat Nov  2 17:14:59 2019
paraiso,84.2,89.0,20.0,14.99,-0.03,-51.17,Sat Nov  2 17:14:59 2019
visnes,42.62,39.0,100.0,11.41,59.36,5.22,Sat Nov  2 17:14:59 2019
truro,46.42,87.0,53.0,8.05,50.26,-5.05,Sat Nov  2 17:14:59 2019
sorvag,46.42,87.0,53.0,8.05,50.26,-5.05,Sat Nov  2 17:14:59 2019
igrim,18.16,88.0,93.0,4.29,63.19,64.42,Sat Nov  2 17:15:00 2019
saldanha,52.27,80.0,100.0,22.64,41.42,-6.55,Sat Nov  2 17:15:00 2019
tambul,52.27,80.0,100.0,22.64,41.42,-6.55,Sat Nov  2 17:15:00 2019
kaeo,82.0,41.0,77.0,1.01,-35.1,173.78,Sat Nov  2 17:15:00 2019
klyuchi,28.47,65.0,0.0,2.33,52.25,79.17,Sat Nov  2 17:15:01 2019
kirksville,42.03,75.0,1.0,6.33,40.19,-92.58,Sat Nov  2 17:12:45 2019
maravatio,60.58,100.0,90.0,3.89,19.89,-100.44,Sat Nov  2 17:15:01 2019
gogrial,60.58,100.0,90.0,3.89,19.89,-100.44,Sat Nov  2 17:15:01 2019
potosi,56.55,49.0,2.0,16.53,-19.59,-65.75,Sat Nov  2 17:15:02 2019
trairi,75.47,80.0,40.0,6.53,-3.28,-39.27,Sat Nov  2 17:15:02 2019
tabiauea,75.47,80.0,40.0,6.53,-3.28,-39.27,Sat Nov  2 17:15:02 2019
fort nelson,37.4,93.0,75.0,3.36,58.81,-122.69,Sat Nov  2 17:15:02 2019
troitskoye,28.49,51.0,0.0,5.95,52.98,84.68,Sat Nov  2 17:15:02 2019
meulaboh,80.17,74.0,79.0,6.04,4.14,96.13,Sat Nov  2 17:15:03 2019
macaboboni,80.17,74.0,79.0,6.04,4.14,96.13,Sat Nov  2 17:15:03 2019
goderich,38.7,64.0,94.0,4.0,43.74,-81.71,Sat Nov  2 17:15:03 2019
olinda,66.67,60.0,75.0,9.17,-37.84,145.39,Sat Nov  2 17:15:03 2019
steinbach,33.3,74.0,90.0,3.36,49.53,-96.69,Sat Nov  2 17:15:03 2019
yining,60.35,74.0,41.0,1.81,29.04,114.56,Sat Nov  2 17:15:04 2019
gaziantep,44.02,65.0,72.0,1.12,37.06,37.38,Sat Nov  2 17:15:04 2019
tuatapere,74.73,28.0,0.0,5.68,-46.13,167.69,Sat Nov  2 17:15:04 2019
usoke,74.39,45.0,89.0,4.85,-5.09,32.32,Sat Nov  2 17:15:04 2019
lorengau,85.01,72.0,100.0,17.43,-2.02,147.27,Sat Nov  2 17:15:05 2019
bismarck,40.55,45.0,90.0,3.36,46.81,-100.78,Sat Nov  2 17:15:05 2019
salinopolis,81.0,81.0,53.0,19.69,-0.61,-47.36,Sat Nov  2 17:15:05 2019
portland,41.61,70.0,90.0,5.82,43.66,-70.25,Sat Nov  2 17:05:11 2019
kismayo,41.61,70.0,90.0,5.82,43.66,-70.25,Sat Nov  2 17:05:11 2019
cozumel,41.61,70.0,90.0,5.82,43.66,-70.25,Sat Nov  2 17:05:11 2019
pau brasil,67.26,97.0,10.0,1.32,-15.46,-39.65,Sat Nov  2 17:15:06 2019
bojnurd,53.6,71.0,40.0,6.93,37.47,57.33,Sat Nov  2 17:15:06 2019
tibiri,81.95,19.0,51.0,4.65,13.57,7.05,Sat Nov  2 17:15:06 2019
havre-saint-pierre,30.2,86.0,75.0,5.82,50.23,-63.6,Sat Nov  2 17:15:07 2019
waddan,68.23,38.0,0.0,7.16,29.16,16.14,Sat Nov  2 17:15:07 2019
taman,26.6,79.0,52.0,6.71,45.22,36.72,Sat Nov  2 17:15:07 2019
oktyabrskiy,34.61,88.0,91.0,6.71,55.61,37.97,Sat Nov  2 17:15:07 2019
pomabamba,45.61,83.0,80.0,3.18,-8.82,-77.46,Sat Nov  2 17:15:07 2019
ishinomaki,53.6,76.0,75.0,4.7,38.42,141.3,Sat Nov  2 17:15:08 2019
najran,66.2,37.0,29.0,1.72,17.54,44.22,Sat Nov  2 17:15:08 2019
tucuma,66.2,37.0,29.0,1.72,17.54,44.22,Sat Nov  2 17:15:08 2019
vestmannaeyjar,40.46,76.0,100.0,17.63,63.44,-20.27,Sat Nov  2 17:15:08 2019
villarrica,55.65,71.0,0.0,8.05,-39.28,-72.23,Sat Nov  2 17:15:08 2019
sambava,70.27,97.0,100.0,1.92,-14.27,50.17,Sat Nov  2 17:15:09 2019
salinas,71.28,42.0,1.0,5.82,36.67,-121.66,Sat Nov  2 17:15:09 2019
guajara-mirim,71.28,42.0,1.0,5.82,36.67,-121.66,Sat Nov  2 17:15:09 2019
simplicio mendes,87.17,34.0,99.0,5.03,-7.85,-41.91,Sat Nov  2 17:15:09 2019
astoria,55.92,51.0,1.0,11.41,46.19,-123.83,Sat Nov  2 17:11:05 2019
bosaso,83.73,71.0,68.0,11.21,11.28,49.18,Sat Nov  2 17:15:10 2019
lar,57.2,41.0,0.0,1.9,27.66,54.32,Sat Nov  2 17:15:10 2019
dire,53.6,66.0,20.0,2.24,9.18,38.92,Sat Nov  2 17:15:10 2019
abu jubayhah,53.6,66.0,20.0,2.24,9.18,38.92,Sat Nov  2 17:15:10 2019
morant bay,80.22,69.0,40.0,9.17,17.88,-76.41,Sat Nov  2 17:15:10 2019
faanui,81.45,78.0,43.0,11.39,-16.48,-151.75,Sat Nov  2 17:15:11 2019
tagab,48.58,87.0,75.0,2.24,34.85,69.65,Sat Nov  2 17:15:11 2019
mathathane,75.7,47.0,80.0,6.15,-22.27,28.75,Sat Nov  2 17:15:11 2019
talcahuano,57.2,67.0,0.0,12.75,-36.72,-73.12,Sat Nov  2 17:15:11 2019
vila franca do campo,64.4,77.0,75.0,3.36,37.72,-25.43,Sat Nov  2 17:15:12 2019
santa rosa,58.44,32.0,0.0,5.99,-36.62,-64.29,Sat Nov  2 17:15:12 2019
linhares,70.83,86.0,0.0,1.79,-19.38,-40.06,Sat Nov  2 17:15:12 2019
matay,66.99,28.0,2.0,7.02,28.42,30.79,Sat Nov  2 17:15:12 2019
gunjur,80.6,88.0,40.0,5.82,13.18,-16.76,Sat Nov  2 17:15:12 2019
evinayong,67.93,98.0,100.0,4.05,1.44,10.55,Sat Nov  2 17:15:13 2019
uberaba,77.0,61.0,75.0,10.29,-19.75,-47.94,Sat Nov  2 17:15:13 2019
shellbrook,35.6,74.0,40.0,5.82,53.22,-106.39,Sat Nov  2 17:15:13 2019
sahrak,35.6,74.0,40.0,5.82,53.22,-106.39,Sat Nov  2 17:15:13 2019
leh,25.14,67.0,98.0,3.18,34.16,77.58,Sat Nov  2 17:15:13 2019
pacific grove,70.63,42.0,1.0,5.82,36.62,-121.92,Sat Nov  2 17:10:20 2019
emerald,79.83,57.0,40.0,12.75,-23.53,148.16,Sat Nov  2 17:15:14 2019
ye,79.83,57.0,40.0,12.75,-23.53,148.16,Sat Nov  2 17:15:14 2019
shimoda,62.92,88.0,75.0,8.05,34.7,138.93,Sat Nov  2 17:15:14 2019
bolungarvik,62.92,88.0,75.0,8.05,34.7,138.93,Sat Nov  2 17:15:14 2019
tongren,55.15,89.0,1.0,1.83,27.72,109.18,Sat Nov  2 17:15:15 2019
moiyabana,55.15,89.0,1.0,1.83,27.72,109.18,Sat Nov  2 17:15:15 2019
dossor,31.03,93.0,100.0,15.82,47.52,52.98,Sat Nov  2 17:15:15 2019
ulladulla,77.34,53.0,75.0,10.16,-35.36,150.48,Sat Nov  2 17:15:15 2019
khavarion,77.34,53.0,75.0,10.16,-35.36,150.48,Sat Nov  2 17:15:15 2019
myskhako,26.6,79.0,12.0,6.71,44.66,37.76,Sat Nov  2 17:15:16 2019
umzimvubu,26.6,79.0,12.0,6.71,44.66,37.76,Sat Nov  2 17:15:16 2019
grootfontein,69.06,51.0,4.0,5.17,-19.56,18.1,Sat Nov  2 17:15:16 2019
borlange,69.06,51.0,4.0,5.17,-19.56,18.1,Sat Nov  2 17:15:16 2019
chipinge,64.76,56.0,11.0,3.09,-20.19,32.62,Sat Nov  2 17:15:16 2019
srednekolymsk,6.55,94.0,100.0,7.27,67.46,153.71,Sat Nov  2 17:15:17 2019
vuktyl,13.96,90.0,90.0,2.91,63.86,57.31,Sat Nov  2 17:15:17 2019
chapais,28.4,92.0,90.0,11.41,49.78,-74.86,Sat Nov  2 17:15:17 2019
thinadhoo,81.79,71.0,55.0,3.44,0.53,72.93,Sat Nov  2 17:15:17 2019
sitka,48.04,38.0,0.0,3.0,37.17,-99.65,Sat Nov  2 17:15:17 2019
lusambo,68.59,97.0,90.0,1.21,-4.97,23.44,Sat Nov  2 17:15:18 2019
yumbe,67.8,87.0,81.0,2.19,3.47,31.25,Sat Nov  2 17:15:18 2019
panjwin,67.8,87.0,81.0,2.19,3.47,31.25,Sat Nov  2 17:15:18 2019
del rio,67.69,39.0,1.0,4.7,29.36,-100.9,Sat Nov  2 17:15:18 2019
dolores,70.0,91.0,69.0,1.99,-33.53,-58.22,Sat Nov  2 17:15:18 2019
yenagoa,75.25,94.0,80.0,2.42,4.92,6.26,Sat Nov  2 17:15:19 2019
kungurtug,32.9,60.0,58.0,3.2,50.6,97.53,Sat Nov  2 17:15:19 2019
dukat,63.0,95.0,100.0,7.0,40.25,19.57,Sat Nov  2 17:15:19 2019
acajutla,80.6,54.0,34.0,6.93,13.59,-89.83,Sat Nov  2 17:13:24 2019
remanso,85.48,40.0,33.0,7.27,-9.62,-42.08,Sat Nov  2 17:15:19 2019
taicheng,78.01,67.0,96.0,1.01,22.25,112.8,Sat Nov  2 17:15:20 2019
tilichiki,26.69,91.0,95.0,7.72,60.47,166.1,Sat Nov  2 17:15:20 2019
robinson,41.07,52.0,1.0,5.82,39.01,-87.74,Sat Nov  2 17:15:20 2019
paratebueno,73.4,94.0,40.0,2.24,4.38,-73.21,Sat Nov  2 17:15:21 2019
sistranda,33.03,86.0,20.0,6.93,63.73,8.83,Sat Nov  2 17:15:21 2019
rafaela,68.5,72.0,69.0,1.99,-31.25,-61.49,Sat Nov  2 17:15:21 2019
padang,67.05,81.0,34.0,2.21,-0.92,100.36,Sat Nov  2 17:15:21 2019
melito di porto salvo,64.42,88.0,40.0,8.05,37.92,15.77,Sat Nov  2 17:15:21 2019
samatau,64.42,88.0,40.0,8.05,37.92,15.77,Sat Nov  2 17:15:21 2019
challapata,58.42,44.0,27.0,14.47,-18.9,-66.78,Sat Nov  2 17:15:22 2019
ngunguru,82.0,41.0,52.0,1.01,-35.62,174.5,Sat Nov  2 17:15:22 2019
palamos,62.06,72.0,95.0,4.7,41.85,3.13,Sat Nov  2 17:15:23 2019
kimbe,87.66,59.0,100.0,6.26,-5.56,150.15,Sat Nov  2 17:15:23 2019
guiberoua,71.33,99.0,92.0,2.21,6.24,-6.17,Sat Nov  2 17:15:23 2019
dalbandin,67.68,50.0,10.0,5.5,28.9,64.41,Sat Nov  2 17:15:23 2019
severo-yeniseyskiy,16.0,86.0,98.0,12.53,60.37,93.04,Sat Nov  2 17:15:23 2019
wahran,16.0,86.0,98.0,12.53,60.37,93.04,Sat Nov  2 17:15:23 2019
abu zabad,78.28,24.0,0.0,12.93,12.35,29.25,Sat Nov  2 17:15:24 2019
ayan,32.79,88.0,70.0,0.78,38.23,44.7,Sat Nov  2 17:15:24 2019
zhangjiakou,41.04,93.0,97.0,2.24,40.77,114.88,Sat Nov  2 17:15:24 2019
dingle,78.13,86.0,100.0,2.06,11.0,122.67,Sat Nov  2 17:15:24 2019
lasa,64.4,77.0,20.0,9.17,34.92,32.53,Sat Nov  2 17:15:25 2019
jalu,62.65,78.0,0.0,5.08,29.03,21.55,Sat Nov  2 17:15:25 2019
burica,62.65,78.0,0.0,5.08,29.03,21.55,Sat Nov  2 17:15:25 2019
diffa,83.5,14.0,66.0,6.06,13.32,12.61,Sat Nov  2 17:15:25 2019
margate,64.94,51.0,75.0,8.05,-43.03,147.26,Sat Nov  2 17:15:25 2019
chernyshevskiy,21.07,84.0,66.0,11.77,63.01,112.47,Sat Nov  2 17:12:07 2019
lompoc,71.38,28.0,20.0,8.05,34.64,-120.46,Sat Nov  2 17:15:26 2019
kyra,71.38,28.0,20.0,8.05,34.64,-120.46,Sat Nov  2 17:15:26 2019
zhuhai,32.0,88.0,0.0,4.47,40.71,112.04,Sat Nov  2 17:15:26 2019
magadan,36.91,91.0,100.0,32.48,59.56,150.8,Sat Nov  2 17:15:26 2019
vardo,39.34,76.0,1.0,3.83,39.62,-77.74,Sat Nov  2 17:15:27 2019
dyurtyuli,23.83,91.0,99.0,9.06,55.49,54.86,Sat Nov  2 17:15:27 2019
carballo,58.06,93.0,75.0,27.51,43.21,-8.69,Sat Nov  2 17:15:27 2019
kankon,75.2,94.0,20.0,3.36,15.02,74.02,Sat Nov  2 17:15:27 2019
ugoofaaru,82.65,66.0,20.0,3.42,5.67,73.0,Sat Nov  2 17:15:27 2019
michigan city,39.97,73.0,90.0,12.75,41.71,-86.9,Sat Nov  2 17:15:28 2019
port augusta,64.24,52.0,41.0,13.87,-32.49,137.76,Sat Nov  2 17:15:28 2019
saint-pierre,50.23,93.0,100.0,17.22,48.95,4.24,Sat Nov  2 17:15:28 2019
kuito,65.57,56.0,68.0,4.03,-12.38,16.94,Sat Nov  2 17:15:28 2019
valdivia,48.65,76.0,0.0,3.36,-39.81,-73.25,Sat Nov  2 17:15:28 2019
veshkayma,24.94,95.0,28.0,7.4,54.05,47.12,Sat Nov  2 17:15:29 2019
port-gentil,77.0,94.0,40.0,2.24,-0.72,8.78,Sat Nov  2 17:14:05 2019
astorga,87.8,45.0,15.0,3.2,-23.24,-51.66,Sat Nov  2 17:15:29 2019
capinopolis,79.61,65.0,75.0,6.31,-18.68,-49.57,Sat Nov  2 17:15:29 2019
pustoshka,38.37,91.0,100.0,12.88,56.34,29.37,Sat Nov  2 17:15:29 2019
zyryanka,4.15,94.0,100.0,5.84,65.73,150.89,Sat Nov  2 17:15:30 2019
haines junction,31.55,98.0,100.0,4.52,60.75,-137.51,Sat Nov  2 17:15:30 2019
marcona,31.55,98.0,100.0,4.52,60.75,-137.51,Sat Nov  2 17:15:30 2019
cobija,78.78,72.0,95.0,2.95,-11.02,-68.77,Sat Nov  2 17:15:30 2019
lodja,68.5,98.0,71.0,0.81,-3.52,23.6,Sat Nov  2 17:15:30 2019
mongoumba,70.52,96.0,99.0,2.51,3.64,18.59,Sat Nov  2 17:15:30 2019
yarim,53.33,49.0,94.0,11.45,14.3,44.38,Sat Nov  2 17:15:31 2019
kirensk,29.71,93.0,100.0,3.62,57.78,108.12,Sat Nov  2 17:15:31 2019
ponta delgada,64.4,77.0,75.0,3.36,37.73,-25.67,Sat Nov  2 17:14:28 2019
ordzhonikidze,48.36,54.0,63.0,10.47,44.96,35.36,Sat Nov  2 17:15:31 2019
tyukhtet,26.62,62.0,85.0,13.42,56.54,89.31,Sat Nov  2 17:15:32 2019
gorontalo,84.49,63.0,39.0,2.17,0.54,123.06,Sat Nov  2 17:15:32 2019
rexburg,41.49,38.0,1.0,1.54,43.82,-111.79,Sat Nov  2 17:15:32 2019
vilyuysk,25.95,95.0,100.0,11.88,63.75,121.63,Sat Nov  2 17:15:32 2019
barranca de upia,75.9,87.0,24.0,0.98,4.57,-72.97,Sat Nov  2 17:15:32 2019
buala,83.84,76.0,100.0,11.25,-8.15,159.59,Sat Nov  2 17:15:33 2019
aksu,12.2,92.0,17.0,2.24,52.04,76.93,Sat Nov  2 17:15:33 2019
andenes,12.2,92.0,17.0,2.24,52.04,76.93,Sat Nov  2 17:15:33 2019
monrovia,73.4,94.0,20.0,5.77,6.33,-10.8,Sat Nov  2 17:15:33 2019
vaitape,81.45,78.0,43.0,11.39,-16.52,-151.75,Sat Nov  2 17:15:33 2019
bintulu,77.0,94.0,75.0,4.7,3.17,113.03,Sat Nov  2 17:12:01 2019
